gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,kl_divergence,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
32,300,128,20,100,0,tardos,0.03125,0,0.1,0.9375,0.9,0.0039693016527229015,0.00013113259417178337,0.0010254832749212474,0.0021929842789288763,0.0005638560407406738,0.0003923371869556868,4.6470417225939426e-05,0.0011460746754600457,0.014245058092895148,0.002839181722098997
32,300,128,20,100,0,tardos,0.03125,1,0.1,0.9609375,0.9,0.004420313095174011,0.00018615213684789183,0.0006405360272333452,8.87090300981807e-05,0.0026333416663300814,0.001743870270535235,4.633938006270817e-05,0.007211255050691034,0.002905007857605866,0.0005444847517991795
32,300,128,20,100,0,tardos,0.03125,2,0.1,0.953125,0.9,0.004202897162807338,0.0001271043338934645,0.0008440372883432462,0.002421769340904413,0.002231463596540479,0.00037730953843726514,4.646310220612732e-05,0.0026945589233727057,0.004901092106715665,0.005530592304371302
32,300,128,20,100,0,tardos,0.03125,0,0.2,0.90625,0.8,0.007202387088719676,0.00043784017685336273,0.001550597294327008,0.0026194024413904514,0.000839439399019107,0.00924320446774439,5.237015995451595e-05,0.004214054599685664,0.01788114358772321,0.004015270016433574
32,300,128,20,100,0,tardos,0.03125,1,0.2,0.9296875,0.8,0.0074331483063106345,0.0005083243565891528,2.252810786764311e-06,0.0027965586390330754,0.0018006583929119908,0.003838935418211767,5.2125145967083804e-05,0.018288684506909736,0.005864555467798266,0.0036828901149458964
32,300,128,20,100,0,tardos,0.03125,2,0.2,0.9296875,0.8,0.006550840702232971,0.00030918544683750625,0.00102890861835071,0.0051596001095238495,0.00286902203395886,0.003096369320787831,5.2685570663733304e-05,0.0025509212330763436,0.00031916509915649286,0.005948605830200318
32,300,128,20,100,0,tardos,0.03125,0,0.3,0.90625,0.7,0.009609029497589466,0.000792810016951098,0.0013032395248223476,0.009067238424143982,0.00027325757080961426,0.008052222610760645,5.976283348840596e-05,0.003925802955052436,0.012641784879192534,0.007026316455697204
32,300,128,20,100,0,tardos,0.03125,1,0.3,0.9140625,0.7,0.010469319734971328,0.0009950531323364153,0.0008639247816227218,0.0025013067358940354,0.001005362526353757,0.000952487186834921,5.927950599027069e-05,0.020365297628154536,0.005402692946021584,0.002600685414223589
32,300,128,20,100,0,tardos,0.03125,2,0.3,0.9140625,0.7,0.009777329100229493,0.0007752220359400629,0.0003968647255008711,0.004522595857299446,0.0012982957938224213,0.009039263148852138,5.975885615383316e-05,0.011482828385462265,0.011804001317166433,0.019544087280772764
32,300,128,20,100,0,tardos,0.03125,0,0.4,0.84375,0.6,0.011827953600588354,0.0012588442205256577,0.0010601305599610672,0.013794124487113861,7.411398314771966e-05,0.009998012630799882,7.127631818093242e-14,0.012038477208381752,0.010813440385341601,0.0023801817875949986
32,300,128,20,100,0,tardos,0.03125,1,0.4,0.9296875,0.6,0.014111162992113976,0.0018263085433532012,0.00021486322401142132,6.377986854386999e-05,0.002689494568093546,0.006461486164890387,6.975079603199506e-05,0.01817525047611136,0.0032223034493629645,0.0036726905245433187
32,300,128,20,100,0,tardos,0.03125,2,0.4,0.890625,0.6,0.013494582915033325,0.0015560587149887099,0.0009339807721572575,0.0026481857333470293,0.002593910727547824,0.008624311143581373,6.970328960353731e-05,0.015428550201828553,0.012440197622464743,0.013914270096480448
32,300,128,20,100,0,tardos,0.03125,0,0.5,0.8125,0.5,0.015098384646824578,0.0022111071886660658,0.002822832845877458,0.015453422123177615,0.0016621770311924303,0.004620675476696296,1.325606291402388e-13,0.011660051160321094,0.01603171168581387,0.008363815910357026
32,300,128,20,100,0,tardos,0.03125,1,0.5,0.90625,0.5,0.01800448777573825,0.0030542294999054975,5.189749125229144e-05,0.004395141723135245,0.00039690672795845896,0.004456071115935432,8.3183311133658e-05,0.025446570584060198,0.0014886459975989327,0.0037669014055263235
32,300,128,20,100,0,tardos,0.03125,2,0.5,0.859375,0.5,0.01621104088695404,0.0021103189686027105,0.0020682709953157175,0.004911377537709378,0.006451372522817918,0.008077372394412332,8.406272202565424e-05,0.01323559664776459,0.01448075339459014,0.02508164248774733
32,300,128,20,100,0,tardos,0.03125,0,0.6,0.796875,0.4,0.0212994986143271,0.00403957254506005,0.0011739099785195363,0.022910170885990233,0.0024884423597078425,0.0019234497581202587,4.485301019485467e-14,0.011091088625023643,0.025688354819816232,0.006179713119282604
32,300,128,20,100,0,tardos,0.03125,1,0.6,0.828125,0.4,0.021433544600794458,0.004277195577926321,0.002383768667920585,0.0001450644814550238,0.0030025043371975646,0.005466342743277013,1.1990408665951249e-14,0.01845613520110949,0.0027927538804302997,0.007921108742697674
32,300,128,20,100,0,tardos,0.03125,2,0.6,0.828125,0.4,0.019742805906873172,0.0034481630665333346,0.0010977996941245478,0.01645514848399933,0.001697970076789211,0.007525403761997277,0.00010513835270864081,0.018134035841956407,0.009642120402051669,0.04078895825062103
32,300,128,20,100,0,tardos,0.03125,0,0.7,0.6640625,0.30000000000000004,0.02832733933539833,0.007642286061815224,0.0030541233744470304,0.031461518796162984,0.0002929354764243842,0.007504000221707173,2.5757174171302682e-14,0.003791245281479949,0.038731612833770246,0.02908169690247067
32,300,128,20,100,0,tardos,0.03125,1,0.7,0.7421875,0.30000000000000004,0.02688640066575867,0.006374695179059315,0.0024784424010374224,0.014556386711884153,0.00933305715790625,0.015760047603487773,5.3623772089393086e-14,0.03836514522987467,0.031086243270691098,0.027301204897216533
32,300,128,20,100,0,tardos,0.03125,2,0.7,0.7578125,0.30000000000000004,0.0248877226016581,0.005668218276199896,0.002101709438767164,0.009628802451833212,0.0005638787500476503,0.003478878344795007,4.962696920074267e-14,0.014539765835891836,0.00037804321911504783,0.062401386126278414
